Molecule Name,Cluster Label,Is Centroid
HMDB0000058,1,Yes
HMDB0002124,1,No
HMDB0002338,1,No
HMDB0002708,1,No
HMDB0003217,1,No
HMDB0003263,1,No
HMDB0003312,1,No
HMDB0005781,1,No
HMDB0005801,1,No
HMDB0005808,1,No
HMDB0002124,1,No
HMDB0002338,1,No
HMDB0002708,1,No
HMDB0003217,1,No
HMDB0003263,1,No
HMDB0003312,1,No
HMDB0005781,1,No
HMDB0005801,1,No
HMDB0005808,1,No
HMDB0000343,2,Yes
HMDB0003141,2,No
HMDB0003218,2,No
HMDB0004590,2,No
HMDB0003141,2,No
HMDB0003218,2,No
HMDB0004590,2,No
HMDB0000372,3,Yes
HMDB0000842,3,No
HMDB0001849,3,No
HMDB0001925,3,No
HMDB0003066,3,No
HMDB0004087,3,No
HMDB0004810,3,No
HMDB0000842,3,No
HMDB0001849,3,No
HMDB0001925,3,No
HMDB0003066,3,No
HMDB0004087,3,No
HMDB0004810,3,No
HMDB0000406,4,Yes
HMDB0003175,4,No
HMDB0003235,4,No
HMDB0004240,4,No
HMDB0004241,4,No
HMDB0004685,4,No
HMDB0003175,4,No
HMDB0003235,4,No
HMDB0004240,4,No
HMDB0004241,4,No
HMDB0004685,4,No
HMDB0000416,5,Yes
HMDB0000058,5,No
HMDB0001000,5,No
HMDB0001091,5,No
HMDB0001570,5,No
HMDB0003882,5,No
HMDB0005020,5,No
HMDB0000058,5,No
HMDB0001000,5,No
HMDB0001091,5,No
HMDB0001570,5,No
HMDB0003882,5,No
HMDB0005020,5,No
HMDB0000431,6,Yes
HMDB0000343,6,No
HMDB0000372,6,No
HMDB0000406,6,No
HMDB0000431,6,No
HMDB0000343,6,No
HMDB0000372,6,No
HMDB0000406,6,No
HMDB0000431,6,No
HMDB0000512,7,Yes
HMDB0000839,7,No
HMDB0002326,7,No
HMDB0002899,7,No
HMDB0003747,7,No
HMDB0004215,7,No
HMDB0004629,7,No
HMDB0005014,7,No
HMDB0006101,7,No
HMDB0000839,7,No
HMDB0002326,7,No
HMDB0002899,7,No
HMDB0003747,7,No
HMDB0004215,7,No
HMDB0004629,7,No
HMDB0005014,7,No
HMDB0006101,7,No
HMDB0000594,8,Yes
HMDB0000512,8,No
HMDB0000594,8,No
HMDB0000671,8,No
HMDB0000706,8,No
HMDB0000860,8,No
HMDB0000929,8,No
HMDB0001894,8,No
HMDB0002096,8,No
HMDB0002302,8,No
HMDB0002372,8,No
HMDB0006005,8,No
HMDB0006061,8,No
HMDB0000512,8,No
HMDB0000594,8,No
HMDB0000671,8,No
HMDB0000706,8,No
HMDB0000860,8,No
HMDB0000929,8,No
HMDB0001894,8,No
HMDB0002096,8,No
HMDB0002302,8,No
HMDB0002372,8,No
HMDB0006005,8,No
HMDB0006061,8,No
HMDB0000637,9,Yes
HMDB0000637,9,No
HMDB0000722,9,No
HMDB0000874,9,No
HMDB0000637,9,No
HMDB0000722,9,No
HMDB0000874,9,No
HMDB0000667,10,Yes
HMDB0001244,10,No
HMDB0002236,10,No
HMDB0002710,10,No
HMDB0004238,10,No
HMDB0001244,10,No
HMDB0002236,10,No
HMDB0002710,10,No
HMDB0004238,10,No
HMDB0000671,11,Yes
HMDB0000881,11,No
HMDB0001892,11,No
HMDB0001940,11,No
HMDB0002114,11,No
HMDB0002269,11,No
HMDB0003075,11,No
HMDB0003306,11,No
HMDB0004078,11,No
HMDB0005033,11,No
HMDB0005789,11,No
HMDB0000881,11,No
HMDB0001892,11,No
HMDB0001940,11,No
HMDB0002114,11,No
HMDB0002269,11,No
HMDB0003075,11,No
HMDB0003306,11,No
HMDB0004078,11,No
HMDB0005033,11,No
HMDB0005789,11,No
HMDB0000706,12,Yes
HMDB0001938,12,No
HMDB0003324,12,No
HMDB0004808,12,No
HMDB0001938,12,No
HMDB0003324,12,No
HMDB0004808,12,No
HMDB0000715,13,Yes
HMDB0002209,13,No
HMDB0002780,13,No
HMDB0003601,13,No
HMDB0005760,13,No
HMDB0005782,13,No
HMDB0005897,13,No
HMDB0002209,13,No
HMDB0002780,13,No
HMDB0003601,13,No
HMDB0005760,13,No
HMDB0005782,13,No
HMDB0005897,13,No
HMDB0000722,14,Yes
HMDB0000416,14,No
HMDB0001204,14,No
HMDB0006217,14,No
HMDB0006218,14,No
HMDB0000416,14,No
HMDB0001204,14,No
HMDB0006217,14,No
HMDB0006218,14,No
HMDB0000763,15,Yes
HMDB0001054,15,No
HMDB0001518,15,No
HMDB0001054,15,No
HMDB0001518,15,No
HMDB0000839,16,Yes
HMDB0002294,16,No
HMDB0002294,16,No
HMDB0000842,17,Yes
HMDB0004484,17,No
HMDB0006203,17,No
HMDB0004484,17,No
HMDB0006203,17,No
HMDB0000860,18,Yes
HMDB0000667,18,No
HMDB0000715,18,No
HMDB0000763,18,No
HMDB0001389,18,No
HMDB0003572,18,No
HMDB0004185,18,No
HMDB0000667,18,No
HMDB0000715,18,No
HMDB0000763,18,No
HMDB0001389,18,No
HMDB0003572,18,No
HMDB0004185,18,No
HMDB0000874,19,Yes
HMDB0001510,19,No
HMDB0005035,19,No
HMDB0005039,19,No
HMDB0005041,19,No
HMDB0005042,19,No
HMDB0001510,19,No
HMDB0005035,19,No
HMDB0005039,19,No
HMDB0005041,19,No
HMDB0005042,19,No
HMDB0000881,20,Yes
HMDB0003573,20,No
HMDB0003573,20,No
